-,ꢱ,ꢱꢸꢥ꣄ꢣꢬꢶ,sourashtra,,,'ꢱꢥꢣꢬ':1 'sundari':2 'beautiful':3 'woman':4 'அழக':5,abstract|concept|idea,सुन्दरि|ஸுந்த3ரி|sundari|sundari|sundari|s̪un̪d̪əɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,beautiful woman,english,,english,,abstract|concept|idea,,noun,
^,,அழகி,tamil,,tamil,'அழக':1 'beautiful':2 'woman':3,abstract|concept|idea,ஸுந்த3ரி,noun,
-,ꢱ,ꢱꢸꢖ꣄ꢔꢵꢬ꣄,sourashtra,,,'ꢱꢖꢔꢬ':1 'sungaar':2 'suggar':3 'suṅgār':4 'beauty':5 'அழக':6,abstract|concept|idea,सिङ्गार्|ஸிங்கா3ர்|sungaar|suGgAr|suṅgār|s̪uŋgɑːɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,beauty,english,,english,,abstract|concept|idea,,noun,
^,,அழகு,tamil,,tamil,'அழக':1 'beauty':2,abstract|concept|idea,ஸிங்கா3ர்,noun,
-,ꢥ,ꢥꢵꢱ꣄,sourashtra,,,'ꢥꢱ':1 'naas':2 'nas':3 'nās':4 'destruction':5 'evil':6 'அழ':7,abstract|concept|idea,नास्|நாஸ்|naas|nAs|nās|n̪ɑːs̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,destruction,english,,english,,abstract|concept|idea,,noun,
^,,evil,english,,english,,abstract|concept|idea,,noun,
^,,அழிவு,tamil,,tamil,'அழவ':1 'அழ':2,abstract|concept|idea,நாஸ்,noun,
^,,தீமை,tamil,,tamil,'தம':1,abstract|concept|idea,நாஸ்,noun,
-,ꢥ,ꢥꢱꢵꢡ꣄,sourashtra,,,'ꢥꢱꢡ':1 'nasaat':2 'nasat':3 'nasāt':4 'destruction':5 'அழ':6,abstract|concept|idea,नसात|நஸாத்|nasaat|nasAt|nasāt|n̪əs̪ɑːt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
